car,price,body,mileage,engV,engType,registration,year,model,drive
Renault,13321.3275,crossover,0,1.5,Diesel,yes,2016,Sandero StepWay,front
Chery,13415.805,crossover,1,2,Petrol,yes,2016,Tiggo,front
Kia,13460.265,hatch,1,1.6,Petrol,yes,2016,Ceed,front
Peugeot,13700,hatch,2,1.2,Petrol,yes,2016,208,front
Fiat,13820,sedan,0,1.4,Petrol,yes,2016,Tipo,front
Volkswagen,13893.75,sedan,0,1.6,Petrol,yes,2016,Polo,front
Volkswagen,13972.0737,sedan,0,1.6,Petrol,yes,2016,Polo,front
Volkswagen,14500,sedan,1,1.6,Other,yes,2016,Polo,front
Skoda,14827.7064,hatch,1,1.2,Petrol,yes,2016,Spaceback,front
Citroen,14849.64,van,1,1.6,Diesel,yes,2016,Berlingo пасс.,front
Ford,15195.3906,hatch,0,99.99,Petrol,yes,2016,Fiesta,front
Hyundai,15246.075,sedan,1,1.6,Petrol,yes,2016,Elantra,front
Suzuki,15486.9,hatch,0,1.2,Petrol,yes,2016,Swift,front
Skoda,15520,sedan,0,1.2,Petrol,yes,2016,Rapid,front
Mazda,15523.95,sedan,0,1.6,Petrol,yes,2016,3,front
Renault,15635.1,vagon,0,1.5,Diesel,yes,2016,Dokker пасс.,front
Nissan,15656.589,crossover,0,1.6,Petrol,yes,2016,Juke,front
Renault,15672.15,van,0,1.5,Diesel,yes,2016,Dokker пасс.,front
Renault,15820.35,sedan,0,1.5,Diesel,yes,2016,Fluence,front
Kia,16153.8,vagon,1,1.6,Petrol,yes,2016,Ceed,front
Mazda,16264.95,hatch,0,1.5,Petrol,yes,2016,2,full
Peugeot,16300,vagon,1,1.2,Petrol,yes,2016,2008,front
Suzuki,16302,crossover,0,1.6,Petrol,yes,2016,SX4,
Suzuki,16487.25,crossover,0,1.6,Petrol,yes,2016,Vitara,front
Ford,16561.35,hatch,0,1.2,Petrol,yes,2016,Focus,front
Toyota,16672.5,hatch,1,1.6,Petrol,yes,2016,Auris,front
Volkswagen,16999,sedan,0,1.6,Petrol,yes,2016,Jetta,front
Volkswagen,17191.2,sedan,0,1.6,Petrol,yes,2016,Jetta,front
Toyota,17394.0858,hatch,0,1.33,Petrol,yes,2016,Yaris,front
Renault,17500,crossover,20,1.5,Diesel,yes,2016,Duster,full
Peugeot,17598.75,vagon,0,1.6,Diesel,yes,2016,Partner пасс.,front
Renault,17639.46795,crossover,0,1.2,Petrol,yes,2016,Captur,front
Nissan,17800,sedan,2,1.6,Petrol,yes,2016,Sentra,front
Peugeot,17895.15,hatch,0,1.6,Diesel,yes,2016,308,front
Citroen,18154.5,other,0,1.6,Diesel,yes,2016,Berlingo пасс.,front
Skoda,18255,sedan,0,1.6,Petrol,yes,2016,Rapid,front
Hyundai,18300,hatch,0,1.6,Petrol,yes,2016,i30,front
Hyundai,18300,hatch,0,1.4,Petrol,yes,2016,i20,front
Renault,18456.1611,crossover,1,1.5,Diesel,yes,2016,Duster,full
Honda,18500,sedan,1,NA,Other,yes,2016,City,
Honda,18500,sedan,1,1.5,Petrol,yes,2016,Civic,front
Skoda,18520,hatch,0,1.6,Petrol,yes,2016,Spaceback,front
Renault,18932.55,hatch,0,1.5,Diesel,yes,2016,Megane,front
Renault,18988.125,crossover,0,1.5,Diesel,yes,2016,Duster,full
Peugeot,19080.75,crossover,0,1.2,Petrol,yes,2016,2008,front
Volkswagen,19100,sedan,4,1.6,Other,yes,2016,Jetta,front
Suzuki,19414.2,crossover,0,1.6,Petrol,yes,2016,Vitara,full
Nissan,19451.25,crossover,0,1.6,Petrol,yes,2016,Juke,front
Nissan,19457.5485,hatch,0,NA,Petrol,yes,2016,Juke,front
Suzuki,19525.35,crossover,0,1.6,Petrol,yes,2016,Vitara,front
Renault,19692.075,crossover,0,1.5,Diesel,yes,2016,Duster,full
Skoda,19740,sedan,0,1.4,Petrol,yes,2016,Octavia A7,front
Hyundai,19900,sedan,15,1.6,Petrol,yes,2016,Elantra,front
Opel,20120,sedan,0,1.6,Diesel,yes,2016,Astra J,front
Hyundai,20200,sedan,0,1.6,Other,yes,2016,Elantra,front
Ford,20377.5,crossover,0,1.5,Petrol,yes,2016,Kuga,front
Nissan,20447.154,crossover,0,1.2,Petrol,yes,2016,Qashqai,front
Skoda,20500,sedan,0,1.4,Petrol,yes,2016,Octavia A7,front
Kia,20633.886,crossover,0,1.7,Diesel,yes,2016,Sportage,front
Kia,20633.886,crossover,0,1.7,Diesel,yes,2016,Sportage,front
Toyota,20711.2464,vagon,0,1.6,Petrol,yes,2016,Auris,full
Toyota,20859.15,crossover,1,2,Petrol,yes,2016,Rav 4,front
Skoda,20933.25,other,0,1.4,Petrol,yes,2016,Octavia A7,front
Renault,20996.235,crossover,0,1.5,Diesel,yes,2016,Captur,front
Smart,21091.34235,hatch,0,0.9,Petrol,yes,2016,Forfour,rear
Skoda,21300,sedan,2,1.4,Petrol,yes,2016,Octavia A7,front
Hyundai,21433.425,crossover,1,2,Petrol,yes,2016,Tucson,front
Volkswagen,21500,sedan,2,1.6,Diesel,yes,2016,Jetta,front
Honda,21800,sedan,0,1.6,Petrol,yes,2016,Civic,front
Skoda,21924,sedan,0,1.4,Petrol,yes,2016,Octavia A7,front
Honda,22000,sedan,0,1.6,Petrol,yes,2016,Civic,front
Kia,22000,other,5,1.6,Petrol,yes,2016,Koup,full
Skoda,22000,sedan,0,1.4,Petrol,yes,2016,Octavia A7,front
Suzuki,22230,crossover,0,2.4,Petrol,yes,2016,Grand Vitara,full
Mazda,22563.45,sedan,0,2,Petrol,yes,2016,6,front
Mitsubishi,22711.65,crossover,1,2,Petrol,yes,2016,Outlander,full
Hyundai,22800,crossover,0,2,Petrol,yes,2016,Tucson,front
Skoda,23000,sedan,0,1.8,Petrol,yes,2016,Octavia A7,front
Peugeot,23156.25,vagon,0,1.6,Petrol,yes,2016,308,front
Suzuki,23341.5,crossover,0,1.6,Petrol,yes,2016,Vitara,full
Ford,23674.95,crossover,0,2,Diesel,yes,2016,Kuga,front
Volkswagen,23999,sedan,0,1.6,Diesel,yes,2016,Jetta,front
Volkswagen,23999,sedan,0,1.6,Diesel,yes,2016,Jetta,front
Volkswagen,23999,sedan,1,1.6,Diesel,yes,2016,Jetta,front
Volkswagen,24000,sedan,3,1.6,Diesel,yes,2016,Jetta,front
Citroen,24050.637,hatch,0,1.2,Diesel,yes,2016,C4,front
Toyota,24171.42,sedan,1,2.5,Petrol,yes,2016,Camry,front
Hyundai,24250,crossover,1,2,Petrol,yes,2016,Tucson,full
Skoda,24293.685,other,0,2,Diesel,yes,2016,Octavia A7,front
Volkswagen,24300,sedan,1,1.6,Diesel,yes,2016,Jetta,front
Volkswagen,24800,sedan,2,1.6,Diesel,yes,2016,Jetta,front
Suzuki,24823.5,crossover,0,2.4,Petrol,yes,2016,Grand Vitara,full
Toyota,24842.025,sedan,0,1.8,Petrol,yes,2016,Avensis,front
Volkswagen,24900,sedan,1,1.6,Diesel,yes,2016,Jetta,front
Volkswagen,24900,sedan,1,1.6,Diesel,yes,2016,Jetta,front
Skoda,24999,sedan,44,2,Diesel,yes,2016,Octavia A7,front
Mazda,25000,sedan,0,2,Other,yes,2016,6,front
Mitsubishi,25000,crossover,0,2,Petrol,yes,2016,Outlander,front
Skoda,25013.23305,crossover,1,1.8,Petrol,yes,2016,Yeti,full
Nissan,25198.446,crossover,0,2,Petrol,yes,2016,Qashqai,front
Mitsubishi,25342.2,other,1,2.5,Diesel,yes,2016,L 200,full
Nissan,25382.955,crossover,0,1.6,Diesel,yes,2016,Qashqai,full
Toyota,25749.75,sedan,0,2.5,Petrol,yes,2016,Camry,front
Mazda,25800,sedan,9,2,Petrol,yes,2016,6,front
Nissan,25982.7945,crossover,0,1.6,Diesel,yes,2016,Qashqai,front
Hyundai,26000,crossover,0,2,Petrol,yes,2016,Tucson,front
Nissan,26033.553,crossover,0,1.6,Diesel,yes,2016,X-Trail,full
Hyundai,27000,crossover,0,2,Petrol,yes,2016,Tucson,full
Mazda,27450,crossover,0,2,Petrol,yes,2016,CX-5,front
Mitsubishi,27565.2,crossover,1,2.5,Diesel,yes,2016,Pajero Sport,full
Nissan,27694.134,crossover,1,1.6,Diesel,yes,2016,X-Trail,front
Honda,27802.50525,crossover,1,2.4,Petrol,yes,2016,CR-V,full
Hyundai,28400,crossover,1,2,Petrol,yes,2016,Tucson,full
Hyundai,28500,crossover,0,2,Petrol,yes,2016,Tucson,full
Mitsubishi,28500,crossover,0,2,Petrol,yes,2016,Outlander,full
Ford,28560.6594,crossover,0,2,Diesel,yes,2016,Kuga,full
Volkswagen,28660,van,0,1.6,Diesel,yes,2016,Caddy пасс.,front
Toyota,28787.85,sedan,0,2.5,Petrol,yes,2016,Camry,front
Volkswagen,28793.037,van,0,1.6,Diesel,yes,2016,Caddy пасс.,front
Volkswagen,28900,crossover,1,2,Petrol,yes,2016,Tiguan,full
Nissan,29077.9515,crossover,0,1.6,Diesel,yes,2016,X-Trail,front
Hyundai,29400,sedan,0,2,Petrol,yes,2016,Sonata,front
Volkswagen,29600,sedan,11,1.4,Petrol,yes,2016,Passat B8,front
Audi,29602.95,sedan,1,1.4,Petrol,yes,2016,A4,front
Skoda,29640,other,0,1.8,Petrol,yes,2016,Superb,front
MINI,30381,hatch,0,1.5,Petrol,yes,2016,Cooper,front
Hyundai,30900,crossover,0,2,Petrol,yes,2016,Tucson,full
Hyundai,30900,crossover,0,2,Petrol,yes,2016,Tucson,full
Audi,30999,sedan,2,1.4,Petrol,yes,2016,A3,front
Hyundai,31500,crossover,1,2,Petrol,yes,2016,Tucson,full
Mazda,32000,sedan,0,2,Petrol,yes,2016,6,front
Subaru,32300,crossover,0,2,Petrol,yes,2016,Forester,full
MINI,32444,hatch,1,1.5,Petrol,yes,2016,Cooper,rear
Mitsubishi,33000,other,0,2.4,Diesel,yes,2016,L 200,full
Skoda,33114.6231,other,0,2,Diesel,yes,2016,Superb,front
Hyundai,33500,sedan,0,2.4,Petrol,yes,2016,Sonata,front
Hyundai,33500,crossover,0,2,Petrol,yes,2016,Tucson,full
Volkswagen,33700,van,11,1.4,Petrol,yes,2016,Touran,front
Skoda,33900,sedan,6,1.8,Petrol,yes,2016,Superb,front
Audi,34419.45,sedan,0,1.4,Petrol,yes,2016,Q3,
Hyundai,34500,crossover,0,2,Diesel,yes,2016,Tucson,full
Volkswagen,34899.13635,vagon,0,2,Petrol,yes,2016,Passat B8,front
Toyota,35138.2941,crossover,0,2,Petrol,yes,2016,Rav 4,full
Hyundai,35500,crossover,0,2,Diesel,yes,2016,Tucson,full
Mitsubishi,36000,crossover,0,2.4,Petrol,yes,2016,Outlander,full
Ford,36155,crossover,0,2,Diesel,yes,2016,Kuga,full
Hyundai,36500,crossover,0,2,Diesel,yes,2016,Tucson,full
Hyundai,37400,crossover,0,2.2,Diesel,yes,2016,Santa FE,full
Subaru,37500,crossover,0,2,Diesel,yes,2016,Forester,full
Subaru,37900,crossover,0,2,Diesel,yes,2016,Forester,full
BMW,37976.25,sedan,0,2,Petrol,yes,2016,520,rear
Subaru,38000,crossover,0,2,Petrol,yes,2016,Forester,full
Honda,38000,crossover,0,1.6,Diesel,yes,2016,CR-V,full
Toyota,38233,other,0,2.4,Diesel,yes,2016,Hilux,full
Volkswagen,38365,sedan,0,2,Diesel,yes,2016,Passat B8,front
Skoda,38680,sedan,0,1.8,Petrol,yes,2016,Superb,front
Subaru,38800,crossover,0,NA,Diesel,yes,2016,Forester,full
Subaru,38900,crossover,0,2,Diesel,yes,2016,Forester,full
Subaru,38900,crossover,0,2,Diesel,yes,2016,Forester,full
Volvo,38900,crossover,0,2,Diesel,yes,2016,XC60,front
Subaru,38900,crossover,1,2,Diesel,yes,2016,Forester,full
BMW,39333,sedan,6,2,Petrol,yes,2016,520,
Toyota,39500,other,1,2.8,Diesel,yes,2016,Hilux,full
Volkswagen,39615,sedan,0,2,Diesel,yes,2016,Passat B8,front
Hyundai,39900,crossover,0,2.2,Diesel,yes,2016,Santa FE,full
Jaguar,39900,sedan,24,2,Petrol,yes,2016,XE,rear
BMW,39900,sedan,5,2,Petrol,yes,2016,520,rear
Volvo,40300,crossover,2,2,Diesel,yes,2016,XC60,
Volvo,40500,sedan,0,2.4,Diesel,yes,2016,S60,full
Ford,40600,other,0,2.2,Diesel,yes,2016,Ranger,full
BMW,40755,sedan,0,2,Petrol,yes,2016,520,rear
Mitsubishi,40800,crossover,0,2.4,Diesel,yes,2016,Pajero Sport,full
Honda,40900,crossover,0,1.6,Diesel,yes,2016,CR-V,full
Honda,40900,crossover,0,1.6,Diesel,yes,2016,CR-V,full
Mitsubishi,40990,crossover,0,2.4,Diesel,yes,2016,Pajero Sport,full
Honda,41000,crossover,0,1.6,Diesel,yes,2016,CR-V,full
Toyota,41900,van,0,2.5,Diesel,yes,2016,Hiace пасс.,rear
BMW,42000,sedan,5,2,Petrol,yes,2016,520,rear
Kia,42741.621,crossover,0,2.2,Diesel,yes,2016,Sorento,full
Mercedes-Benz,42900,hatch,3,NA,Other,yes,2016,B-Class Electric Drive,front
BMW,42900,sedan,2,2,Petrol,yes,2016,520,rear
BMW,42900,sedan,2,2,Petrol,yes,2016,520,rear
Audi,43000,crossover,1,2,Petrol,yes,2016,Q3,full
BMW,43163.25,crossover,0,2,Diesel,yes,2016,X1,full
BMW,43719,crossover,0,2,Petrol,yes,2016,X3,full
Subaru,43900,vagon,0,2,Diesel,yes,2016,Outback,full
Toyota,43999,other,1,2.8,Diesel,yes,2016,Hilux,full
Toyota,43999,other,0,2.8,Diesel,yes,2016,Hilux,full
Chevrolet,44000,other,1,2,Petrol,yes,2016,Camaro,rear
Audi,44000,hatch,1,1.4,Petrol,yes,2016,A5,
Subaru,44500,crossover,0,2,Diesel,yes,2016,Outback,full
BMW,45000,sedan,29,2,Diesel,yes,2016,520,rear
Mitsubishi,46000,crossover,0,2.4,Diesel,yes,2016,Pajero Sport,full
BMW,46000,sedan,5,2,Petrol,yes,2016,520,rear
Toyota,46500,other,4,3,Diesel,yes,2016,Hilux,full
Mercedes-Benz,47000,sedan,0,1.6,Petrol,yes,2016,C-Class,rear
BMW,47300,crossover,10,2,Diesel,yes,2016,X3,full
BMW,47500,sedan,0,2,Diesel,yes,2016,320,full
Mercedes-Benz,47600,van,0,2.2,Diesel,yes,2016,Vito пасс.,rear
Mercedes-Benz,47600,van,0,2.2,Diesel,yes,2016,Vito пасс.,rear
Mercedes-Benz,47600,van,0,2.2,Diesel,yes,2016,Vito пасс.,rear
Mercedes-Benz,47600,van,0,2.2,Diesel,yes,2016,Vito пасс.,rear
BMW,48535.5,crossover,0,2,Diesel,yes,2016,X3,full
Lexus,50500,crossover,9,2,Petrol,yes,2016,NX 200,full
Audi,52055.25,crossover,0,2,Diesel,yes,2016,Q5,full
BMW,52222,hatch,3,2,Diesel,yes,2016,4 Series Gran Coupe,full
Hyundai,53000,van,1,2.5,Diesel,yes,2016,H1 пасс.,full
Ford,53900,other,1,2.3,Petrol,yes,2016,Mustang,rear
Volkswagen,55500,crossover,47,3,Diesel,yes,2016,Touareg,full
Chevrolet,56000,other,1,2,Petrol,yes,2016,Camaro,rear
BMW,56500,crossover,1,2,Diesel,yes,2016,X5,
Ford,56700,other,0,2.3,Petrol,yes,2016,Mustang,rear
Chevrolet,56800,other,1,2,Petrol,yes,2016,Camaro,rear
Ford,56900,other,1,2.3,Petrol,yes,2016,Mustang,rear
Land Rover,57000,crossover,0,2.2,Diesel,yes,2016,Discovery Sport,full
Mercedes-Benz,57000,other,0,1.6,Petrol,yes,2016,C-Class,rear
Infiniti,57756.8745,crossover,1,3,Diesel,yes,2016,QX70,full
Chevrolet,58500,other,1,2,Petrol,yes,2016,Camaro,rear
Ford,58915,crossover,0,NA,Other,yes,2016,Edge,
Mercedes-Benz,58999,crossover,0,2.2,Diesel,yes,2016,GLC-Class,full
BMW,59900,crossover,30,2,Diesel,yes,2016,X5,full
Chevrolet,59999,other,1,2,Petrol,yes,2016,Camaro,rear
BMW,60500,crossover,1,2,Diesel,yes,2016,X5,full
Volkswagen,61000,crossover,2,3,Diesel,yes,2016,Touareg,full
BMW,62000,crossover,1,2,Diesel,yes,2016,X5,full
BMW,62900,crossover,1,2,Diesel,yes,2016,X5,full
Mercedes-Benz,62999,crossover,0,2.2,Diesel,yes,2016,GLC-Class,full
Audi,63200,sedan,0,2,Petrol,yes,2016,A6,full
Jeep,63500,crossover,1,3.6,Petrol,yes,2016,Wrangler,full
BMW,63500,crossover,1,2,Diesel,yes,2016,X5,full
BMW,64500,crossover,1,2,Diesel,yes,2016,X5,full
BMW,65000,crossover,0,2.5,Diesel,yes,2016,X5,full
Chevrolet,65000,other,0,2,Petrol,yes,2016,Camaro,rear
Mercedes-Benz,65000,other,0,1.6,Petrol,yes,2016,C-Class,rear
BMW,65099,crossover,0,2,Diesel,yes,2016,X5,full
BMW,65393.25,crossover,0,2,Diesel,yes,2016,X5,full
BMW,65500,crossover,1,2,Diesel,yes,2016,X5,full
Volkswagen,66346,crossover,0,3,Diesel,yes,2016,Touareg,full
BMW,66500,crossover,1,2,Diesel,yes,2016,X5,full
BMW,66500,crossover,0,2,Other,yes,2016,X5,full
BMW,66666,crossover,0,2,Diesel,yes,2016,X5,full
Volvo,66795,crossover,0,2,Diesel,yes,2016,XC90,full
BMW,67431,crossover,0,2,Diesel,yes,2016,X5,full
BMW,67500,crossover,1,2.5,Diesel,yes,2016,X5,full
BMW,67500,crossover,1,2,Diesel,yes,2016,X5,full
BMW,67500,crossover,1,2,Diesel,yes,2016,X5,full
Volkswagen,67622.5485,crossover,0,3,Diesel,yes,2016,Touareg,full
Land Rover,67999,crossover,0,3,Diesel,yes,2016,Discovery,full
Toyota,68500,van,1,3.5,Petrol,yes,2016,Sienna,full
Ford,68900,other,1,5,Petrol,yes,2016,Mustang GT,rear
BMW,69999,crossover,0,2.5,Diesel,yes,2016,X5,full
Mercedes-Benz,69999,crossover,0,2.2,Diesel,yes,2016,GLE-Class,full
BMW,69999,crossover,1,2,Petrol,yes,2016,X5,full
Lexus,70000,crossover,13,2,Petrol,yes,2016,RX 200,full
Mercedes-Benz,70999,crossover,0,2.2,Diesel,yes,2016,GLE-Class,full
Volkswagen,71138,crossover,0,3,Diesel,yes,2016,Touareg,full
Mercedes-Benz,71999,crossover,0,2.2,Diesel,yes,2016,GLE-Class,full
Mercedes-Benz,71999,crossover,0,2.2,Diesel,yes,2016,GLE-Class,full
Volkswagen,72000,crossover,0,3,Diesel,yes,2016,Touareg,full
Toyota,73900,crossover,1,4.5,Diesel,yes,2016,Land Cruiser 200,full
Toyota,74999,crossover,1,4.5,Diesel,yes,2016,Land Cruiser 200,full
Mercedes-Benz,74999,crossover,1,2.2,Diesel,yes,2016,GLE-Class,full
BMW,77500,crossover,1,3,Petrol,yes,2016,X6,full
BMW,77500,crossover,1,3,Petrol,yes,2016,X6,
Land Rover,79450,other,0,NA,Diesel,yes,2016,Range Rover Sport,
Audi,80999,crossover,0,3,Diesel,yes,2016,Q7,full
Dodge,81000,other,1,3,Diesel,yes,2016,RAM,full
Audi,81500,sedan,0,3,Petrol,yes,2016,A7,full
Mercedes-Benz,81500,sedan,1,3,Diesel,yes,2016,GLE-Class,full
Audi,81999,crossover,0,2.98,Diesel,yes,2016,Q7,full
Toyota,85000,crossover,1,4.5,Diesel,yes,2016,Land Cruiser 200,full
Mercedes-Benz,85000,van,3,2.2,Diesel,yes,2016,V 250,full
Tesla,85500,sedan,1,NA,Other,yes,2016,Model S,full
Mercedes-Benz,86000,crossover,3,3,Diesel,yes,2016,GLS 350,full
BMW,86999,crossover,0,3,Diesel,yes,2016,X6,full
BMW,86999,crossover,0,3,Diesel,yes,2016,X6,full
Lexus,87200,crossover,1,3.5,Petrol,yes,2016,RX 350,full
Mercedes-Benz,87777,van,0,2.2,Diesel,yes,2016,V 250,full
Porsche,87900,crossover,1,3,Diesel,yes,2016,Cayenne,full
Toyota,88000,crossover,3,4.5,Diesel,yes,2016,Land Cruiser 200,full
Tesla,89000,sedan,1,NA,Other,yes,2016,Model S,rear
Audi,92222,crossover,0,3,Diesel,yes,2016,Q7,full
Infiniti,93147.405,crossover,1,5.6,Petrol,yes,2016,QX80,full
Mercedes-Benz,93555,crossover,0,NA,Other,yes,2016,GLS 350,
Land Rover,95555,crossover,0,3,Diesel,yes,2016,Range Rover Sport,full
Toyota,97500,crossover,2,4.6,Petrol,yes,2016,Land Cruiser 200,full
Mercedes-Benz,97555,van,0,2.5,Diesel,yes,2016,V 250,full
Mercedes-Benz,99000,crossover,0,3,Diesel,yes,2016,GLS 350,full
Mercedes-Benz,99000,sedan,0,3,Petrol,yes,2016,CLS 400,full
Toyota,99999,crossover,0,4.5,Petrol,yes,2016,Land Cruiser 200,full
Toyota,99999,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full
Toyota,99999,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full
Mercedes-Benz,99999,crossover,0,3,Petrol,yes,2016,GLE-Class,full
BMW,99999,other,0,3,Petrol,yes,2016,640,full
Porsche,99999,crossover,1,3,Diesel,yes,2016,Cayenne,full
Mercedes-Benz,99999,crossover,0,2.99,Diesel,yes,2016,GLE-Class,full
Porsche,99999,crossover,1,2.99,Diesel,yes,2016,Cayenne,full
Toyota,1.00E+05,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full
Mercedes-Benz,102800,van,0,2.2,Diesel,yes,2016,V 250,rear
Toyota,102999,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full
Mercedes-Benz,103333,crossover,0,3,Diesel,yes,2016,GLE-Class,full
